#timestep	temperature	potential_energy	bond_harmonic_energy	kinetic_energy	dihedral_harmonic_energy
0	0	129.6184511	125.5766119	0	4.041839207
5000	0.7285914808	24.50027836	22.98907509	7.650210549	1.511203273
10000	0.8469832214	35.88222849	32.04394187	8.893323824	3.838286617
15000	1.012769666	32.74227563	28.9118818	10.63408149	3.830393834
20000	0.7583134031	21.65952624	19.9580522	7.962290732	1.70147404
25000	0.7423495464	20.26638841	18.42944102	7.794670237	1.836947388
30000	1.13606917	20.37159206	18.93756609	11.92872628	1.434025973
35000	0.8291904874	25.00585375	20.21134231	8.706500117	4.794511439
40000	1.295497801	28.10437956	24.29178554	13.60272692	3.812594026
45000	0.7229005237	28.73236176	23.91929862	7.590455499	4.813063148
50000	1.5055962	27.5927163	24.0924171	15.8087601	3.5002992
55000	1.113513735	29.09796263	25.18699621	11.69189422	3.910966424
60000	1.798598989	29.45217121	25.7337839	18.88528938	3.718387312
65000	1.368647065	32.32967599	25.60971067	14.37079418	6.719965313
70000	0.8956174341	31.10242927	28.64758574	9.403983058	2.454843526
75000	1.084162748	29.61087558	24.99153165	11.38370885	4.619343932
80000	0.929003874	25.92812558	23.69556754	9.754540677	2.232558046
85000	0.9105904802	22.18242422	19.79837698	9.561200042	2.384047241
90000	1.155486713	26.39575597	22.04982233	12.13261049	4.345933642
95000	0.8937361142	22.84699734	20.6470682	9.384229199	2.199929132
100000	1.033558492	23.86920003	20.46262663	10.85236416	3.406573401
105000	1.274239734	27.02657119	23.76570046	13.37951721	3.26087073
110000	1.063115059	27.83270186	23.12179819	11.16270812	4.710903666
115000	1.088090305	30.06552365	26.66466296	11.42494821	3.400860688
120000	1.838106991	29.67426645	25.94755171	19.30012341	3.72671474
125000	1.03617202	32.42633276	25.92247065	10.87980621	6.503862111
130000	0.8405352956	25.98419893	23.45036887	8.825620603	2.533830062
135000	1.598524417	22.17613093	18.96119934	16.78450638	3.214931594
140000	0.7129842747	19.85834818	17.67631723	7.486334885	2.182030948
145000	1.095191931	27.54108678	25.77020684	11.49951528	1.770879939
150000	0.8576976021	28.46672544	22.17225366	9.005824822	6.294471774
155000	1.145023192	22.09598716	19.87976837	12.02274352	2.216218791
160000	1.301775523	23.42930744	21.77865958	13.668643	1.650647866
165000	1.026684673	21.56307293	20.03079794	10.78018906	1.532274985
170000	1.203255432	21.79875388	20.32089235	12.63418204	1.477861527
175000	0.5350715177	20.50971736	19.71826682	5.618250936	0.7914505412
180000	0.9976934809	30.49978279	24.72213621	10.47578155	5.777646573
185000	0.6424630303	25.56538507	21.26699376	6.745861818	4.298391306
190000	0.6214879218	32.6952183	27.72874854	6.525623179	4.966469767
195000	1.162620838	27.19099972	22.9548564	12.2075188	4.236143313
