#timestep	temperature	potential_energy	bond_harmonic_energy	kinetic_energy	dihedral_harmonic_energy
0	0	0.7371758581	0.2377298338	0	0.4994460243
10	0.002534261785	0.7105893188	0.214673086	0.02660974874	0.4959162328
20	0.008691991546	0.6463654121	0.1608441465	0.09126591123	0.4855212657
30	0.01538045354	0.5777325405	0.1089240311	0.1614947622	0.4688085095
40	0.02033895583	0.5289795795	0.08238327792	0.2135590362	0.4465963016
50	0.02345952415	0.5013815805	0.08152399526	0.2463250036	0.4198575852
60	0.02593531412	0.482443252	0.09283124783	0.2723207983	0.3896120042
70	0.02852459252	0.4644162402	0.1075739873	0.2995082215	0.3568422529
80	0.03091314136	0.4508681106	0.1284251858	0.3245879843	0.3224429248
90	0.03265703066	0.4465152509	0.1593057688	0.3428988219	0.2872094821
100	0.03435271056	0.4450811523	0.1932288745	0.3607034609	0.2518522778
110	0.03756598726	0.4306597005	0.2136310565	0.3944428663	0.217028644
120	0.04360574551	0.3910603806	0.2076885242	0.4578603278	0.1833718564
130	0.05253349609	0.3279901676	0.1764666747	0.5516017089	0.1515234928
140	0.06337882308	0.2540647148	0.1319147804	0.6654776423	0.1221499344
150	0.07501778625	0.1830272904	0.08707378892	0.7876867556	0.0959535015
160	0.08648221118	0.126346287	0.05266242801	0.9080632174	0.073683859
170	0.09646320022	0.09818479232	0.04204374106	1.012863602	0.05614105126
180	0.1031468741	0.1164791296	0.0723063092	1.083042178	0.0441728204
190	0.1053482771	0.1907095277	0.1520406108	1.10615691	0.03866891692
